ik,I
de deur,the door
het raam,the window
de stoel,the chair
de kruk,the stool
de tafel,the table
de lamp,the lamp
de televisie,the television
de kast,the closet
de wc,the toilet
de keuken,the kitchen
het fornuis,the cooker
de koelkast,the fridge
de kamer,the room
de woonkamer,the living room
de bank,the couch
de slaapkamer,the sleeping room
het bed,the bed
de badkamer,the bathroom
de douche,the shower
het bad,the bath tub
de bijkeuken,the scullery
de garage,the garage
de tuin,the garden
de zolder,the attic
het lichaam,the body
het lijf,the body
het hoofd,the head
de kop,the head
de mond,the mouth
de tand,the tooth
het oor,the ear
het oog,the eye
de bril,the glasses
de zonnebril,the sunglasses
de neus,the nose
het haar,the hair
de arm,the arm
de elleboog,the elbow
de hand,the hand
de vinger,the finger
het been,the leg
de knie,the knee
de voet,the foot
de teen,the toe
de rug,the spine
de buik,the belly/ the stomach
de schouder,the shoulder
de kont,the ass
de borst,the chest/ the breast
de baard,the beard
de snor,the moustache
het hart,the heart
de kleren,the clothes
de kleding,the clothing
de kledingwinkel,the clothes shop
de broek,the pants
de spijkerbroek,the jeans
de trui,the sweater
de jas,the coat
de rok,the skirt
de jurk,the dress
de sok,the sock (short)
de kous,the sock (long)
de schoen,the shoe
de klomp,the wooden shoe
de riem,the belt
het T-shirt,the T-shirt
het (onder)hemd,the undershirt
het overhemd,the shirt
de blouse,the blouse/ the shirt
het pak,the suit
"het, de colbert",the suit jacket
de stropdas,the tie
de strik,the bow
de pyjama,the pyjamas
de onderbroek,the undershorts
de bh,the bra
de hoed,the hat
de das,the scarf
doen,to do
beginnen,to begin
geloven,to believe
brengen,to bring
halen,to pick up
lenen,to borrow
bellen,to call
kunnen,to can
sluiten,to close
snijden,to cut
beslissen,to decide
vallen,to fall
voelen,to feel/ to touch
volgen,to follow
gebeuren,to happen
iets,something
helpen,to help
houden,to hold/ to keep
houden van,to love
weten,to know
kennen,to know
leuk vinden,to like
laten,to leave
verliezen,to lose
winnen,to win
maken,to make
solliciteren,to apply for
de sollicitatie,the application
de vacature,the vacancy
de advertentie,the advertisement
het werk,the work
de baan,the job
veranderen,to change
de brief,the letter
de sollicitatiebrief,the application letter
het cv (curriculum vitae),the resume
de opleiding,the education
de ervaring,the experience
het gesprek,the conversation/ the interview
het sollicitatiegesprek,the job interview
het bedrijf,the company
de zaak,the company
het salaris,the salary
bruto,gross
netto,net
de belasting,the tax
het vakantiegeld,the vacation bonus
de auto van de zaak,the company car
het pensioen,the pension
de reiskosten,the travel expenses
de vergoeding,the compensation
de reiskostenvergoeding,the compensation for travel expenses
de collega,the colleague
aannemen,to hire
ontslaan,to fire
de vader,the father
papa,dad
de moeder,the mother
mama,mom
de broer,the brother
de zus,the sister
de opa,the grandfather
de oma,the grandmother
de tante,the aunt
de oom,the uncle
de neef,the cousin/ the nephew
de nicht,the cousin/ the niece
het kind,the child
het kleinkind,the grandchild
de vriend,the (boy) friend
de vriendin,the (girl) friend
de kennis,the acquaintance
de bekende,the acquaintance
de klasgenoot,the classmate
de verkering,the relationship (love)
verliefd,in love
verloofd,to be engaged
trouwen,to marry
scheiden,to divorce
gescheiden zijn,to be divorced
het dier,the animal
het huisdier,the pet
de hond,the dog
de kat,the cat
